PLAYER,TEAM,POS,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA,AGE,HT,WT,SALARY
Jarrett Jack, CLE,PG,80,28.2,0.498,26.5,10.9,18,1.1,10.3,5.6,11.57,19,0.6,30,75,200,6300000
Martell Webster, WSH,SF,78,27.7,0.591,12.2,7.3,13.7,2,10.1,6,11.56,34.1,1.1,27,79,230,5381750
Derrick Williams, MIN/SAC,PF,78,23.3,0.524,7.7,10.4,16.1,4.3,15.8,10,11.53,0.7,0,23,80,240,6331404
Joel Freeland, POR,C,52,14,0.498,14.8,13.2,11.9,13.2,17.6,15.4,11.34,8,0.3,27,82,225,3013512
Kent Bazemore, GS/LAL,SG,67,13.6,0.515,16.2,14.1,21.5,1.2,12.6,6.9,11.28,10.6,0.4,25,77,201,0
O.J. Mayo, MIL,SG,52,25.9,0.516,14.2,11.9,21.9,2,8.8,5.3,11.27,15.5,0.5,26,76,210,8000000
Matt Bonner, SA,PF,61,11.3,0.582,14.3,7.4,11.3,2.7,17.9,10.6,11.27,-2.4,-0.1,34,82,235,915243
Steven Adams, OKC,C,81,14.8,0.541,12,19.8,10.9,14.1,17.1,15.6,11.25,11.5,0.4,21,85,255,2184960
E'Twaun Moore, ORL,PG,79,19.1,0.513,17.2,8.4,15.4,2.2,8.1,5.1,11.18,4.1,0.1,25,76,191,0
Jeff Ayres, SA,C,73,13,0.605,18.7,19.6,11.7,11,19.2,15.3,11.16,8,0.3,27,81,250,1828750
Jason Thompson, SAC,PF,82,24.5,0.523,7.5,13.4,13.3,8.5,21.3,14.8,11.14,-10.8,-0.4,28,83,250,6037500
Steve Novak, TOR,SF,54,10,0.599,7.8,3,11.9,1.7,10.9,6.3,11.1,4.8,0.2,31,82,235,3445947
Wesley Johnson, LAL,SF,79,28.4,0.522,13.8,10,13.9,3.3,13.3,8.3,11.08,19.3,0.6,27,79,215,915243
Cartier Martin, ATL/CHI,PF,59,14.7,0.562,9.2,9.5,15.8,1.7,12.8,7.3,11.05,7.1,0.2,29,79,220,0
Steve Blake, GS/LAL,PG,55,27.2,0.508,39.3,13.1,12.1,0.9,10.4,5.7,11.01,0.2,0,34,75,172,2077000
Anthony Tolliver, CHA,PF,64,20.3,0.605,10.8,5.9,11.3,2.9,11.8,7.3,11.01,-9.5,-0.3,29,80,240,3000000
Danny Granger, IND/LAC,SF,41,20.7,0.502,9.7,10.9,18.2,4.3,12.9,8.8,10.9,5,0.2,31,81,228,2077000
Giannis Antetokounmpo, MIL,SG,77,24.6,0.518,19.3,15.7,14.6,4.6,16.3,10.2,10.82,9.1,0.3,19,81,205,1873200
Chris Johnson, BOS,SF,40,19.7,0.537,10.8,7.7,13.5,4.3,9.8,7,10.8,3.6,0.1,24,78,201,915243
Kirk Hinrich, CHI,SG,73,29,0.494,26.5,11.1,17.5,1.7,8.5,5.2,10.8,9.3,0.3,33,76,190,2732000
Donatas Motiejunas, HOU,PF,62,15.4,0.504,8.1,11.6,16.3,7.4,18.2,13.1,10.76,-10.5,-0.4,23,85,222,1483920
Matthew Dellavedova, CLE,SG,72,17.7,0.535,33,10.7,13.9,2.5,8.5,5.4,10.69,3.7,0.1,23,76,200,816482
Udonis Haslem, MIA,PF,46,14.2,0.523,6.4,11.9,12.3,8.4,24.7,16.8,10.57,-9.1,-0.3,34,80,235,2732000
Travis Outlaw, SAC,SF,63,16.9,0.492,11.4,6.1,14.6,3.8,14.2,8.9,10.42,-1.3,0,29,81,207,3000000
Thabo Sefolosha, OKC,SG,61,26,0.517,18.1,10.6,11.3,3.7,11.5,7.8,10.42,-2,-0.1,30,79,222,4150000
Evan Fournier, DEN,SG,76,19.8,0.533,13.8,12.3,18.7,2.4,12.1,7.2,10.36,-3.2,-0.1,21,78,200,1483920
Archie Goodwin, PHX,SG,52,10.3,0.507,7.8,17.2,17.8,5.3,13,9.2,10.34,-1.3,0,20,77,198,1112280
Alexey Shved, MIN,PG,63,10.5,0.452,17.3,12.2,20.2,3.4,10.1,6.6,10.27,-7.3,-0.2,25,78,187,3282056
Nazr Mohammed, CHI,C,80,7,0.445,10.2,18.9,13.5,13.6,21.7,17.7,10.18,-3.5,-0.1,36,82,250,0
Ian Mahinmi, IND,C,77,16.2,0.538,7.2,17.3,10.4,10.1,12.9,11.6,10.18,-7.9,-0.3,27,83,250,4000000
Quincy Acy, SAC/TOR,SF,63,13.4,0.52,12.6,13.5,9.3,9.5,19.5,14.4,10.14,-4.5,-0.2,23,79,225,915243
Perry Jones, OKC,SF,62,12.3,0.541,10.5,8.5,11.8,4.3,12.1,8.4,10.14,-4.2,-0.1,22,83,235,1129200
